Wavelength,Excitation,Wavelength,Emission
300,19.88025,300,0
301,17.95591,301,0
302,16.22282,302,0
303,14.71552,303,0
304,13.54185,304,0
305,11.65922,305,0
306,9.990467,306,0
307,8.364016,307,0
308,7.351206,308,0
309,6.767352,309,0
310,5.790885,310,0
311,5.075365,311,0
312,5.266607,312,0
313,4.616622,313,0
314,4.271671,314,0
315,3.967233,315,0
316,4.557641,316,0
317,3.734882,317,0
318,3.878463,318,0
319,4.086982,319,0
320,4.051236,320,0
321,4.134644,321,0
322,4.134644,322,0
323,4.206137,323,0
324,4.229967,324,0
325,4.175752,325,0
326,3.961275,326,0
327,4.724456,327,0
328,4.307417,328,0
329,4.206137,329,0
330,4.629133,330,0
331,4.396187,331,0
332,4.610664,332,0
333,4.860888,333,0
334,5.033661,334,0
335,5.045577,335,0
336,5.21835,336,0
337,5.379804,337,0
338,5.617516,338,0
339,5.831993,339,0
340,6.088174,340,0
341,6.213285,341,0
342,6.326482,342,0
343,6.446232,343,0
344,6.582663,344,0
345,6.833482,345,0
346,6.779863,346,0
347,7.041406,347,0
348,7.089664,348,0
349,7.131368,349,0
350,7.316056,350,0
351,7.59011,351,0
352,7.738457,352,0
353,8.107834,353,0
354,8.125708,354,0
355,8.346738,355,0
356,8.560619,356,0
357,8.989573,357,0
358,8.853143,358,0
359,9.007447,359,0
360,9.162348,360,0
361,9.287458,361,0
362,9.240394,362,0
363,9.448913,363,0
364,9.448913,364,0
365,9.686625,365,0
366,9.693179,366,0
367,9.895741,367,0
368,10.24724,368,0
369,10.33065,369,0
370,10.35389,370,0
371,10.75365,371,0
372,10.87221,372,0
373,11.10515,373,0
374,11.23027,374,0
375,11.5216,375,0
376,11.37325,376,0
377,11.35538,377,0
378,11.55794,378,0
379,11.42627,379,0
380,11.06345,380,0
381,11.02175,381,0
382,10.79535,382,0
383,10.9443,383,0
384,10.42598,384,0
385,10.35985,385,0
386,10.14001,386,0
387,9.961275,387,0
388,9.854036,388,0
389,9.812332,389,0
390,9.693179,390,0
391,9.752755,391,0
392,9.669348,392,0
393,9.847483,393,0
394,9.752755,394,0
395,9.805779,395,0
396,9.770629,396,0
397,9.787906,397,0
398,9.812332,398,0
399,9.836164,399,0
400,9.627644,400,0
401,9.603217,401,0
402,9.532321,402,0
403,9.484659,403,0
404,9.120644,404,0
405,9.174263,405,0
406,8.829312,406,0
407,8.668454,407,0
408,8.358654,408,0
409,8.185881,409,0
410,7.935061,410,0
411,7.625261,411,0
412,7.297587,412,0
413,7.08311,413,0
414,6.791779,414,0
415,6.493894,415,0
416,6.237712,416,0
417,6.070301,417,0
418,5.719393,418,0
419,5.391719,419,0
420,5.236819,420,0
421,4.956807,421,0
422,4.580876,422,0
423,4.557641,423,0
424,4.288949,424,0
425,4.038725,425,0
426,3.89574,426,0
427,3.753351,427,0
428,3.437593,428,0
429,3.437593,429,0
430,3.276139,430,0
431,3.085493,431,0
432,2.942508,432,0
433,3.008043,433,0
434,2.806077,434,0
435,2.876974,435,0
436,2.716115,436,0
437,2.620792,437,0
438,2.639261,438,0
439,2.567769,439,0
440,2.490319,440,0
441,2.436104,441,0
442,2.377122,442,0
443,2.38308,443,0
444,2.388442,444,0
445,2.418826,445,0
446,2.388442,446,0
447,2.442657,447,0
448,2.454573,448,0
449,2.341376,449,0
450,2.287161,450,0
451,2.341376,451,0
452,2.251415,452,0
453,2.377122,453,0
454,2.257373,454,0
455,2.275246,455,0
456,2.430146,456,0
457,2.371165,457,0
458,2.371165,458,0
459,2.364611,459,0
460,2.526065,460,0
461,2.3944,461,0
462,2.454573,462,0
463,2.47185,463,0
464,2.501638,464,0
465,2.436104,465,0
466,2.639261,466,0
467,2.722073,467,0
468,2.751862,468,0
469,2.698838,469,0
470,2.83527,470,0
471,2.829312,471,0
472,2.960977,472,0
473,2.931189,473,0
474,3.151028,474,0
475,3.098004,475,0
476,3.145666,476,0
477,3.264224,477,0
478,3.383378,478,0
479,3.37742,479,0
480,3.473339,480,0
481,3.610366,481,0
482,3.687817,482,0
483,3.66339,483,0
484,3.973786,484,0
485,4.057194,485,0
486,4.241883,486,0
487,4.349122,487,0
488,4.54513,488,0
489,4.736372,489,0
490,4.998511,490,0
491,5.070003,491,0
492,5.301757,492,0
493,5.552577,493,0
494,5.826035,494,0
495,5.96902,495,0
496,6.267501,496,0
497,6.535597,497,0
498,6.868632,498,0
499,7.220733,499,0
500,7.482276,500,0
501,7.67888,501,0
502,8.060769,502,0
503,8.227585,503,0
504,8.698243,504,0
505,8.918081,505,0
506,9.180817,506,0
507,9.513852,507,0
508,9.871313,508,0
509,10.03872,509,0
510,10.42598,510,0
511,10.56241,511,0
512,10.90795,512,0
513,11.21239,513,0
514,11.57581,514,0
515,11.94519,515,0
516,12.36759,516,0
517,12.71969,517,0
518,13.14805,518,0
519,13.61871,519,0
520,14.33363,520,0
521,14.82872,521,0
522,15.49002,522,0
523,16.23414,523,0
524,16.91987,524,0
525,17.66458,525,0
526,18.42657,526,0
527,19.43998,527,0
528,20.41108,528,0
529,21.50134,529,0
530,22.68633,530,0
531,23.83676,531,0
532,24.93834,532,0
533,26.19541,533,0
534,27.41734,534,0
535,28.76378,535,0
536,29.93089,536,0
537,31.20048,537,0
538,32.66011,538,0
539,33.83974,539,0
540,35.02472,540,0
541,36.19303,541,0
542,37.34227,542,0
543,38.4504,543,0
544,39.41615,544,0
545,40.33303,545,0
546,41.25052,546,0
547,42.09056,547,0
548,42.72803,548,0
549,43.33632,549,0
550,43.82425,550,0
551,44.27763,551,0
552,44.47364,552,0
553,44.78999,553,0
554,45.02234,554,0
555,45.21239,555,0
556,45.39172,556,0
557,45.67113,557,0
558,45.74858,558,0
559,46.0709,559,0
560,46.42181,560,0
561,46.81501,561,0
562,47.27435,562,0
563,47.96485,563,0
564,48.91212,564,0
565,49.7462,565,0
566,50.96813,566,0
567,52.04647,567,0
568,53.8034,568,0
569,55.40662,569,0
570,57.4078,570,0
571,59.21894,571,0
572,61.61394,572,0
573,63.81293,573,0
574,66.41585,574,0
575,68.85851,575,0
576,71.74859,576,0
577,74.51296,577,0
578,77.37206,578,0
579,80.01788,579,0
580,82.80548,580,6.159652
581,85.46322,581,6.657252
582,88.1561,582,7.393682
583,90.5624,583,8.439029
584,92.80906,584,9.697656
585,94.79833,585,11.0455
586,96.49092,586,12.52446
587,97.71224,587,14.19956
588,98.84421,588,16.21023
589,99.55853,589,18.36772
590,100,590,20.67448
591,99.77957,591,23.06124
592,99.4519,592,25.72563
593,98.54572,593,28.82137
594,97.40781,594,31.39201
595,95.88919,595,34.48686
596,93.85106,596,37.65972
597,91.64731,597,41.22657
598,89.00745,598,44.79509
599,86.1543,599,48.51176
600,83.11588,600,52.36294
601,79.92195,601,56.10341
602,76.34793,602,59.79898
603,72.83229,603,63.7296
604,69.04319,604,67.78604
605,65.28448,605,71.54912
606,61.44117,606,74.81172
607,57.59905,607,78.44492
608,53.79208,608,81.79675
609,49.95472,609,84.75771
610,46.42836,610,87.60434
611,42.90736,611,90.36494
612,39.60679,612,92.63379
613,36.36521,613,94.40963
614,33.23205,614,95.86674
615,30.49747,615,97.46132
616,27.82246,616,98.5704
617,25.23682,617,99.58007
618,23.00804,618,100
619,20.78582,619,99.82571
620,18.82574,620,99.60434
621,17.08013,621,99.47138
622,15.41793,622,98.47868
623,13.85702,623,97.6152
624,12.43968,624,96.81441
625,11.15222,625,95.33356
626,10.02085,626,93.43191
627,9.090855,627,91.77079
628,8.013107,628,89.87393
629,7.208221,629,88.16347
630,6.660709,630,85.91565
631,5.843908,631,84.12842
632,5.308311,632,81.89742
633,4.801311,633,79.76271
634,4.30146,634,77.06181
635,3.824248,635,74.86134
636,3.490617,636,72.83564
637,3.062258,637,70.24368
638,2.75782,638,67.88036
639,2.47185,639,65.78358
640,2.299672,640,63.6376
641,2.085195,641,61.58537
642,2.007745,642,59.49122
643,1.775395,643,57.66385
644,1.637772,644,55.54511
645,1.626452,645,53.62628
646,1.381591,646,52.26034
647,1.393506,647,50.51135
648,1.352398,648,48.88625
649,1.227286,649,47.27924
650,1.214775,650,45.80135
651,1.107536,651,44.53698
652,1.102175,652,43.27085
653,1.036044,653,42.0849
654,1.006256,654,40.80254
655,0.9168901,655,39.76564
656,0.8579088,656,38.83087
657,0.9347631,657,37.70473
658,0.9347631,658,37.06108
659,0.899017,659,36.12849
660,0.9115282,660,35.35397
661,0.8042896,661,34.63075
662,0.875782,662,34.16343
663,0.7327971,663,33.4713
664,0.7208818,664,32.6449
665,0.7619898,665,32.10725
666,0.6785821,666,31.58802
667,0.7917784,667,30.96013
668,0.6493893,668,30.23204
669,0.7441167,669,29.76477
670,0.6851355,670,28.91156
671,0.7387549,671,28.51897
672,0.6904975,672,28.09375
673,0.7327971,673,27.64659
674,0.5773011,674,26.89773
675,0.7083706,675,26.57753
676,0,676,26.15461
677,0,677,25.553
678,0,678,25.07635
679,0,679,24.57134
680,0,680,24.15125
681,0,681,23.70088
682,0,682,23.18129
683,0,683,22.63349
684,0,684,22.18079
685,0,685,21.75091
686,0,686,21.26381
687,0,687,20.66264
688,0,688,20.10799
689,0,689,19.6894
690,0,690,19.32303
691,0,691,18.72565
692,0,692,18.39428
693,0,693,17.80299
694,0,694,17.46973
695,0,695,16.96676
696,0,696,16.58983
697,0,697,16.25421
698,0,698,15.8811
699,0,699,15.22661
700,0,700,14.91386
701,0,701,14.38712
702,0,702,13.97341
703,0,703,13.52077
704,0,704,13.00403
705,0,705,12.51318
706,0,706,12.24539
707,0,707,11.8706
708,0,708,11.48916
709,0,709,10.98058
710,0,710,10.65321
711,0,711,10.24641
712,0,712,10.03522
713,0,713,9.651175
714,0,714,9.36594
715,0,715,9.011077
716,0,716,8.51892
717,0,717,8.315224
718,0,718,8.065984
719,0,719,7.658446
720,0,720,7.36029
721,0,721,7.313755
722,0,722,7.034952
723,0,723,6.722994
724,0,724,6.35893
725,0,725,6.191506
726,0,726,6.046386
727,0,727,5.854695
728,0,728,5.79458
729,0,729,5.538778
730,0,730,5.463121
731,0,731,5.323188
732,0,732,5.202738
733,0,733,5.112418
734,0,734,4.845291
735,0,735,4.817102
736,0,736,4.67255
737,0,737,4.586245
738,0,738,4.398238
739,0,739,4.363708
740,0,740,4.170607
741,0,741,4.089836
742,0,742,4.061226
743,0,743,3.97734
744,0,744,3.864513
745,0,745,3.820215
746,0,746,3.751669
747,0,747,3.572405
748,0,748,3.574366
749,0,749,3.524642
750,0,750,3.403642
751,0,751,0
752,0,752,0
753,0,753,0
754,0,754,0
755,0,755,0
756,0,756,0
757,0,757,0
758,0,758,0
759,0,759,0
760,0,760,0
761,0,761,0
762,0,762,0
763,0,763,0
764,0,764,0
765,0,765,0
766,0,766,0
767,0,767,0
768,0,768,0
769,0,769,0
770,0,770,0
771,0,771,0
772,0,772,0
773,0,773,0
774,0,774,0
775,0,775,0
776,0,776,0
777,0,777,0
778,0,778,0
779,0,779,0
780,0,780,0
781,0,781,0
782,0,782,0
783,0,783,0
784,0,784,0
785,0,785,0
786,0,786,0
787,0,787,0
788,0,788,0
789,0,789,0
790,0,790,0
791,0,791,0
792,0,792,0
793,0,793,0
794,0,794,0
795,0,795,0
796,0,796,0
797,0,797,0
798,0,798,0
799,0,799,0
800,0,800,0
801,0,801,0
802,0,802,0
803,0,803,0
804,0,804,0
805,0,805,0
806,0,806,0
807,0,807,0
808,0,808,0
809,0,809,0
810,0,810,0
811,0,811,0
812,0,812,0
813,0,813,0
814,0,814,0
815,0,815,0
816,0,816,0
817,0,817,0
818,0,818,0
819,0,819,0
820,0,820,0
821,0,821,0
822,0,822,0
823,0,823,0
824,0,824,0
825,0,825,0
826,0,826,0
827,0,827,0
828,0,828,0
829,0,829,0
830,0,830,0
831,0,831,0
832,0,832,0
833,0,833,0
834,0,834,0
835,0,835,0
836,0,836,0
837,0,837,0
838,0,838,0
839,0,839,0
840,0,840,0
841,0,841,0
842,0,842,0
843,0,843,0
844,0,844,0
845,0,845,0
846,0,846,0
847,0,847,0
848,0,848,0
849,0,849,0
850,0,850,0
851,0,851,0
852,0,852,0
853,0,853,0
854,0,854,0
855,0,855,0
856,0,856,0
857,0,857,0
858,0,858,0
859,0,859,0
860,0,860,0
861,0,861,0
862,0,862,0
863,0,863,0
864,0,864,0
865,0,865,0
866,0,866,0
867,0,867,0
868,0,868,0
869,0,869,0
870,0,870,0
871,0,871,0
872,0,872,0
873,0,873,0
874,0,874,0
875,0,875,0
876,0,876,0
877,0,877,0
878,0,878,0
879,0,879,0
880,0,880,0
881,0,881,0
882,0,882,0
883,0,883,0
884,0,884,0
885,0,885,0
886,0,886,0
887,0,887,0
888,0,888,0
889,0,889,0
890,0,890,0
891,0,891,0
892,0,892,0
893,0,893,0
894,0,894,0
895,0,895,0
896,0,896,0
897,0,897,0
898,0,898,0
899,0,899,0
900,0,900,0
901,0,901,0
902,0,902,0
903,0,903,0
904,0,904,0
905,0,905,0
906,0,906,0
907,0,907,0
908,0,908,0
909,0,909,0
910,0,910,0
911,0,911,0
912,0,912,0
913,0,913,0
914,0,914,0
915,0,915,0
916,0,916,0
917,0,917,0
918,0,918,0
919,0,919,0
920,0,920,0
921,0,921,0
922,0,922,0
923,0,923,0
924,0,924,0
925,0,925,0
926,0,926,0
927,0,927,0
928,0,928,0
929,0,929,0
930,0,930,0
931,0,931,0
932,0,932,0
933,0,933,0
934,0,934,0
935,0,935,0
936,0,936,0
937,0,937,0
938,0,938,0
939,0,939,0
940,0,940,0
941,0,941,0
942,0,942,0
943,0,943,0
944,0,944,0
945,0,945,0
946,0,946,0
947,0,947,0
948,0,948,0
949,0,949,0
950,0,950,0
951,0,951,0
952,0,952,0
953,0,953,0
954,0,954,0
955,0,955,0
956,0,956,0
957,0,957,0
958,0,958,0
959,0,959,0
960,0,960,0
961,0,961,0
962,0,962,0
963,0,963,0
964,0,964,0
965,0,965,0
966,0,966,0
967,0,967,0
968,0,968,0
969,0,969,0
970,0,970,0
971,0,971,0
972,0,972,0
973,0,973,0
974,0,974,0
975,0,975,0
976,0,976,0
977,0,977,0
978,0,978,0
979,0,979,0
980,0,980,0
981,0,981,0
982,0,982,0
983,0,983,0
984,0,984,0
985,0,985,0
986,0,986,0
987,0,987,0
988,0,988,0
989,0,989,0
990,0,990,0
991,0,991,0
992,0,992,0
993,0,993,0
994,0,994,0
995,0,995,0
996,0,996,0
997,0,997,0
998,0,998,0
999,0,999,0
