nm,EX,nm,EM
501.8403137,0.012004627,642.8914547,0.057593735
506.629087,0.016046215,647.680228,0.059857024
511.4178603,0.023482736,652.4690013,0.069718498
516.2066336,0.023806063,657.2577746,0.07489173
520.9954069,0.02811709,662.0465479,0.072951768
525.7841802,0.03334421,666.8353212,0.067293545
530.5729535,0.040457404,671.6240945,0.059695361
535.3617268,0.048378916,676.4128679,0.047408935
540.1505002,0.057270408,681.2016412,0.031080921
544.9392735,0.064060275,685.9904145,0.019473481
549.7280468,0.072790104,690.7791878,0.016315654
554.5168201,0.090734753,695.5679611,0.012489618
559.3055934,0.099949573,700.3567344,0.009903002
564.0943667,0.11595426,705.1455077,0.012974608
568.88314,0.127755695,709.934281,0.013136272
573.6719133,0.149741932,714.7230543,0.015722888
578.4606866,0.169626542,719.5118276,0.017986177
583.2494599,0.196139357,724.3006009,0.029464286
588.0382332,0.220981648,729.0893742,0.048863906
592.8270065,0.246740033,733.8781475,0.059695361
597.6157798,0.268241279,738.6669208,0.069880161
602.4045531,0.284569293,742.5850081,0.098864118
607.1933264,0.302675605,745.1970662,0.135192216
611.9820997,0.322236889,748.3750703,0.166134611
616.770873,0.345516433,752.5978977,0.208048568
621.5596464,0.362491101,754.3392698,0.23922268
626.3484197,0.382699039,756.515985,0.294476956
631.137193,0.397572081,759.8681263,0.331872034
635.2971375,0.425873458,761.5659641,0.375973837
638.9733675,0.466117406,763.7302409,0.415909341
642.8370368,0.493272384,765.2850374,0.454777866
646.3741989,0.534255579,766.9642176,0.500854851
650.7276292,0.556648968,768.6433979,0.559697479
654.6457165,0.53378513,770.0116188,0.613332233
657.3821584,0.49125839,773.3388834,0.721046316
659.6832572,0.449922829,771.9706625,0.658901133
662.1709317,0.411308347,773.9297061,0.681129865
664.7829898,0.372185779,775.8576538,0.785592201
668.5766934,0.338855897,777.0496644,0.826950344
673.3654667,0.322883543,779.3714939,0.870740945
678.15424,0.330805055,781.9835521,0.913790589
682.9430133,0.346648078,784.5230531,0.951431241
687.7317866,0.364107736,787.4616185,0.968473269
692.5205599,0.378819115,791.536913,0.944713224
697.3093332,0.383507356,794.0280425,0.906677395
702.0981065,0.389973897,795.914529,0.869407221
706.8868798,0.395470456,798.2467238,0.821818683
711.6756531,0.410666825,799.8015203,0.774871601
715.5937404,0.435470625,801.6175226,0.736257119
719.5118276,0.467895705,803.3588948,0.697134551
723.5931685,0.508610209,805.9274186,0.653269854
726.4151242,0.548214752,807.9590194,0.609108774
728.9649905,0.588658341,809.0183541,0.563050842
731.1417056,0.628373675,810.4985204,0.519601082
733.225133,0.665243731,812.457564,0.479959844
735.0597929,0.709531833,815.5049652,0.441355946
737.236508,0.753532019,817.6816804,0.40327072
739.2888394,0.79573939,819.3504953,0.358862654
741.3515362,0.835644248,822.6881252,0.322929733
743.3935023,0.876742703,825.6266906,0.278122961
746.1765881,0.922044858,828.7829276,0.238587574
749.768168,0.96750706,829.6536136,0.200665935
754.3392698,0.992332107,833.3540294,0.173129252
759.1280431,0.975034112,835.9660875,0.132228386
762.6729792,0.928770637,839.6665033,0.098979592
765.3195884,0.882444549,844.4552766,0.067940199
768.2702467,0.841603524,849.2440499,0.055815437
769.1409328,0.796058758,854.0328232,0.034152527
770.4469619,0.753822354,860.1276256,0.011357973
773.0985967,0.648958828,864.9163989,0.002682032
772.9798667,0.720672757,869.7051722,0.000634294
772.8413485,0.67490582,874.4939455,0.001604275
776.3408367,0.597300568,878.8473758,0.000831883
778.0654648,0.542740133,,
780.0245085,0.505383162,,
781.9400178,0.448093722,,
783.3206771,0.4081187,,
785.0309533,0.372298687,,
786.7723254,0.330423991,,
788.5136975,0.289489252,,
790.6904127,0.250781621,,
793.5201423,0.209287988,,
796.2410363,0.16964675,,
799.7890819,0.13110213,,
804.403718,0.096231312,,
809.1924913,0.067940199,,
813.9812646,0.050803868,,
818.7700379,0.037466629,,
821.1050596,0.014752907,,
825.7355264,0.023321073,,
830.5242997,0.013346435,,
835.313073,0.012344121,,
840.1018463,0.006993059,,
844.2376051,0.001819827,,
