nm,ABS,nm,EM
503.6318893,0.002369218,595.2635524,0.00313048
508.9368804,0.005315813,600.5685434,0.003437271
514.2418714,0.011062199,605.8735344,0.009383643
524.8518534,0.039953682,611.1785255,0.028289053
530.1568444,0.052979529,615.7601086,0.055796078
535.4618355,0.063725545,619.4374319,0.087766838
540.7668265,0.072671694,621.5129236,0.119070136
546.0718175,0.087017443,622.9941873,0.155101183
551.3768085,0.107842711,624.1998671,0.181795115
555.7172557,0.133871549,625.4055468,0.214252619
558.6108872,0.161070235,626.7719839,0.259555558
561.2633827,0.190257476,628.1786103,0.307937866
563.9158782,0.218828763,629.0225862,0.34330278
566.3272378,0.250746219,630.3817161,0.390229672
568.7385973,0.279231929,631.241037,0.430130096
571.1499569,0.30771764,632.1573536,0.471400848
574.2847243,0.338010964,633.1218974,0.50829344
578.8663074,0.362068245,634.0864412,0.561519821
584.1712985,0.360575169,634.8098491,0.595798596
589.4762895,0.337843669,636.1360969,0.634698842
594.7812805,0.321351705,636.7389367,0.677613185
599.1217277,0.334061532,638.2393382,0.710113826
602.5512168,0.363337357,639.2536403,0.811558035
604.6678547,0.39446216,637.9446165,0.744727546
606.3558064,0.426947827,639.3914322,0.774410839
607.8026221,0.456763109,641.2602359,0.853256253
609.0083019,0.489176617,642.7673356,0.898282802
609.9728457,0.51567498,644.7768019,0.941911085
611.3593774,0.54882362,648.7957345,0.981721172
612.8664772,0.591870316,653.1361817,0.968770045
614.2329142,0.636439976,655.9494345,0.936592798
615.5189727,0.676506015,657.2354929,0.906442142
616.5638951,0.712604289,658.7167567,0.874058265
617.528439,0.745812155,660.5769483,0.836139571
618.7743081,0.779732147,661.8170761,0.793159612
619.6182839,0.815086063,662.7816199,0.766388928
620.6632064,0.84213358,663.8150597,0.733343305
621.7885075,0.881719361,664.7107076,0.689463295
623.4420112,0.918722895,665.9163873,0.667232856
624.9577229,0.951139579,667.3632031,0.62762129
628.0580423,0.984688864,668.8100188,0.591529462
632.0540096,0.966153033,670.0156986,0.56516333
633.443412,0.934618586,671.3553428,0.529101908
635.223225,0.897674911,673.150466,0.489193538
635.9810809,0.862784188,674.5972817,0.454641596
637.5427233,0.821725863,675.8029615,0.42334783
638.5072671,0.788938625,677.4564652,0.392294699
639.2306749,0.753514001,678.9377289,0.36110502
639.4718109,0.71717028,680.4189927,0.330983832
640.597112,0.683325509,682.3136323,0.302445526
641.851019,0.650447377,684.24272,0.272398414
642.5261997,0.602718815,686.3593578,0.242239431
643.5871979,0.567540121,688.5831672,0.213091298
644.3863913,0.526502011,692.4413424,0.185202686
645.5805884,0.489689912,697.0229256,0.15773879
646.384375,0.449776815,702.3279166,0.139806933
647.3489188,0.419409397,707.6329076,0.132434293
648.0378787,0.386932899,712.9378987,0.128061431
649.2780064,0.348643307,718.2428897,0.118168978
650.2425502,0.315372105,723.5478807,0.106716641
651.3678514,0.273534594,728.8528717,0.092744491
652.7342884,0.236636965,734.1578627,0.076012545
654.5829974,0.196636398,739.4628537,0.060600502
656.6728424,0.153077011,744.7678448,0.04746829
658.8698589,0.114337858,750.0728358,0.035535988
662.0582121,0.078815195,755.3778268,0.026603464
665.4341154,0.049358534,760.6828178,0.01983078
670.0156986,0.022419599,765.9878088,0.013418069
676.2852334,0.002918188,771.2927999,0.008565242
681.5902244,-0.002414603,776.5977909,0.005992246
686.8952155,-0.002827759,781.9027819,0.004739152
692.2002065,-0.002880942,787.2077729,0.003006094
697.5051975,-0.002814134,792.5127639,0.002712929
702.8101885,-0.003107299,797.817755,0.004459612
708.1151795,-0.00304049,800.9525224,0.001308418
713.4201706,-0.003093673,,
718.7251616,-0.003146856,,
724.0301526,-0.003200039,,
729.3351436,-0.003253222,,
734.6401346,-0.003306405,,
739.9451257,-0.003359588,,
745.2501167,-0.003292779,,
750.5551077,-0.003825927,,
755.8600987,-0.003519136,,
761.1650897,-0.003572319,,
766.1083768,-0.002136986,,
771.7750718,0.003880754,,
777.0800628,0.001907714,,
782.3850538,0.002694469,,
787.6900448,0.001921339,,
792.9950359,0.001388192,,
798.4205948,-0.000426069,,
801.6759302,-0.002658541,,
