Wavelength,DyLight405LS EX,Wavelength,DyLight405LS EM
300,0.072916667,384.375,-0.010416667
312.5,0.130208333,416.40625,0.005208333
323.4375,0.223958333,445.3125,-0.005208333
332.8125,0.328125,468.75,0.010416667
341.40625,0.4375,484.375,0.036458333
351.5625,0.578125,498.4375,0.09375
360.9375,0.6875,507.8125,0.192708333
367.96875,0.776041667,516.40625,0.3125
375.78125,0.895833333,523.4375,0.442708333
382.8125,0.963541667,531.25,0.567708333
392.1875,0.994791667,539.0625,0.697916667
394.53125,0.984375,547.65625,0.817708333
400,0.984375,557.8125,0.9375
403.125,0.96875,569.53125,0.989583333
407.03125,0.9375,580.46875,0.963541667
416.40625,0.838541667,592.1875,0.859375
423.4375,0.734375,605.46875,0.755208333
428.90625,0.635416667,618.75,0.640625
432.8125,0.546875,629.6875,0.53125
435.9375,0.479166667,643.75,0.401041667
442.1875,0.380208333,657.8125,0.255208333
449.21875,0.276041667,675.78125,0.151041667
455.46875,0.177083333,696.09375,0.072916667
464.84375,0.104166667,717.1875,0.026041667
476.5625,0.046875,746.09375,0.005208333
493.75,0.026041667,776.5625,0.005208333
514.84375,-0.005208333,805.46875,0.005208333
546.09375,-0.005208333,,
590.625,-0.005208333,,
641.40625,-0.005208333,,
708.59375,0.005208333,,
