Wavelength,Quantum efficiency,Wavelength,Quantum efficiency
403.2397491,33.48686853,403.2397491,33.48686853
409.5882706,34.51800327,409.5882706,34.51800327
415.143227,35.45297364,415.143227,35.45297364
420.6981833,36.40689611,420.6981833,36.40689611
426.2531396,37.36713595,426.2531396,37.36713595
431.8080959,38.28315422,431.8080959,38.28315422
437.7598348,39.23075932,437.7598348,39.23075932
444.9019215,40.23901115,444.9019215,40.23901115
453.234356,41.26495161,453.234356,41.26495161
461.963573,42.21772547,461.963573,42.21772547
470.6927901,43.04989505,470.6927901,43.04989505
479.4220072,43.76146033,479.4220072,43.76146033
488.1512242,44.33634076,488.1512242,44.33634076
496.8804413,44.73835505,496.8804413,44.73835505
505.6096584,44.93132191,505.6096584,44.93132191
514.3388754,44.92328162,514.3388754,44.92328162
523.0680925,44.76649605,523.0680925,44.76649605
531.7973096,44.46900548,531.7973096,44.46900548
540.5265266,44.15141419,540.5265266,44.15141419
549.2557437,43.85794376,549.2557437,43.85794376
557.9849608,43.60869491,557.9849608,43.60869491
566.7141779,43.38758705,566.7141779,43.38758705
575.4433949,43.12627776,575.4433949,43.12627776
584.172612,42.7926059,584.172612,42.7926059
592.9018291,42.33028947,592.9018291,42.33028947
601.6310461,41.70716733,601.6310461,41.70716733
610.3602632,40.97550133,610.3602632,40.97550133
619.0894803,40.15539218,619.0894803,40.15539218
627.4219147,39.26171442,627.4219147,39.26171442
634.960784,38.2873658,634.960784,38.2873658
641.7060881,37.29053787,641.7060881,37.29053787
647.657827,36.29950087,647.657827,36.29950087
652.8160007,35.30977998,652.8160007,35.30977998
657.1806093,34.41945234,657.1806093,34.41945234
661.1484352,33.48195502,661.1484352,33.48195502
665.1162612,32.50908045,665.1162612,32.50908045
669.0840871,31.50082862,669.0840871,31.50082862
673.051913,30.4395109,673.051913,30.4395109
677.019739,29.36050456,677.019739,29.36050456
680.9875649,28.26380958,680.9875649,28.26380958
684.9553909,27.14058166,684.9553909,27.14058166
688.5264342,26.15222954,688.5264342,26.15222954
692.0974775,25.11523369,692.0974775,25.11523369
696.0653035,24.03622734,696.0653035,24.03622734
700.0331294,22.957221,700.0331294,22.957221
704.0009554,21.85168171,704.0009554,21.85168171
707.5719987,20.85669635,707.5719987,20.85669635
711.1430421,19.82633373,711.1430421,19.82633373
715.110868,18.66772856,715.110868,18.66772856
718.6819113,17.61746623,718.6819113,17.61746623
721.8561721,16.66670244,721.8561721,16.66670244
725.4272154,15.65181738,725.4272154,15.65181738
728.2840501,14.70547575,728.2840501,14.70547575
732.5693021,13.5645592,732.5693021,13.5645592
736.5371281,12.47670854,736.5371281,12.47670854
740.1081714,11.50383397,740.1081714,11.50383397
743.6792148,10.54864802,743.6792148,10.54864802
747.6470407,9.593462077,747.6470407,9.593462077
752.0116492,8.570469722,752.0116492,8.570469722
756.7730404,7.464930433,756.7730404,7.464930433
761.3643818,6.352371848,761.3643818,6.352371848
765.5589407,5.470748136,765.5589407,5.470748136
771.0572137,4.435752783,771.0572137,4.435752783
776.2153875,3.42392111,776.2153875,3.42392111
781.7703438,2.438411802,781.7703438,2.438411802
787.7220827,1.49317571,787.7220827,1.49317571
795.260952,0.512763368,795.260952,0.512763368
800.0223431,0.138890081,800.0223431,0.138890081
