Wavelength, (EX),Wavelength,(EM)
340.0516796,-0.000298151,456.9767442,-0.005043729
378.8113695,-0.004442457,482.8165375,-0.005242497
403.3807063,0.007574561,495.0904393,-0.005336911
413.1697556,0.006356466,502.8423773,0.040757305
419.8877306,0.009047495,510.5943152,0.163774597
433.3236805,0.014374145,513.1782946,0.290677798
441.7691348,0.029849446,513.8242894,0.409903598
460.9633491,0.108459351,518.3462532,0.532945736
469.4088034,0.181424364,519.6382429,0.64447426
474.3992991,0.256919216,520.9302326,0.76369509
479.7736791,0.337635316,524.8062016,0.875203737
487.835249,0.410966074,526.0981912,0.963655337
495.1290505,0.483032966,528.6821705,1.005943152
499.3517776,0.56589114,532.5581395,0.967451799
502.0389676,0.647351681,534.6691318,0.917752389
504.3422733,0.731900718,535.8207847,0.862127556
506.645579,0.81759255,537.5866524,0.787756177
508.8721079,0.898599516,538.5079747,0.72573347
513.9393804,0.966671059,541.1951647,0.679239177
518.3462532,0.890638044,545.4178918,0.605306016
518.3462532,0.80602266,547.3373133,0.541294788
520.9302326,0.729079706,552.5839793,0.471143908
521.5762274,0.659843967,562.2739018,0.390300139
522.7047383,0.599325366,573.255814,0.305600278
523.5142119,0.502136752,585.5297158,0.205505864
524.8062016,0.413665275,593.2816537,0.147753926
526.0981912,0.348270722,606.0716089,0.084556514
528.6821705,0.271327768,614.5170632,0.066622407
528.6821705,0.221327768,622.9625174,0.049934984
529.8225927,0.175592592,631.4079717,0.032624218
532.7497104,0.112087869,639.853426,0.021546875
533.8501292,0.075134168,648.2988803,0.015040707
534.5731608,0.043906182,656.7443346,0.012482374
536.204669,0.01752366,665.1897888,0.011170724
541.6020672,-0.005694693,673.6352431,0.010066856
573.9018088,-0.005943152,682.0806974,0.008547426
603.6175711,-0.006171735,690.5261517,0.007651338
657.881137,-0.006589147,697.4360688,0.007598184
